2023-03-05 17:25:53.110274,randomForest,4749144,14,57,145943,SensorBasedBotnetCausalityAnalysis
2023-03-05 18:26:56.173996,randomForest,4749136,22,64,145936,SensorBasedBotnetCausalityAnalysis
2023-03-05 18:29:57.241233,randomForest,4749136,22,64,145936,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:03:14.740865,randomForest,5634100,33,243976,120024,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:20:23.033636,randomForest,3591780,12,215768,78232,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:27:07.727053,randomForest,3591780,12,215768,78232,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:31:55.644998,randomForest,3591780,12,215768,78232,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:34:40.437861,randomForest,3591780,12,215768,78232,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:37:02.868652,randomForest,5634100,33,243976,120024,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:39:17.049502,randomForest,3591780,12,215768,78232,SensorBasedBotnetCausalityAnalysis
2023-03-05 19:44:20.648312,randomForest,3591780,12,215768,78232,SensorBasedBotnetCausalityAnalysis
2023-03-05 21:25:10.665582,randomForest,4749142,16,34,145966,SensorBasedBotnetCausalityAnalysis
2023-03-05 21:38:59.762688,randomForest,4749142,16,34,145966,SensorBasedBotnetCausalityAnalysis
2023-03-05 21:41:31.191519,randomForest,4749142,16,34,145966,SensorBasedBotnetCausalityAnalysis
2023-03-05 21:46:46.503743,randomForest,4749142,16,34,145966,SensorBasedBotnetCausalityAnalysis
2023-03-05 21:52:35.275083,randomForest,4749142,16,34,145966,SensorBasedBotnetCausalityAnalysis
2023-03-05 22:04:07.977165,randomForest,4749142,16,34,145966,SensorBasedBotnetCausalityAnalysis
